ID;Name_lang;Description_lang;Map;JournalInstanceID;DungeonEncounterID;OrderIndex;FirstSectionID;UiMapID;MapDisplayConditionID;Flags;DifficultyMask
103;Mindbender Ghur'sha;After his valiant efforts at the Abyssal Breach, Earthen Ring shaman Erunak Stonespeaker was abducted by naga forces and enslaved by Mindbender Ghur'sha. It is feared that this parasitic aberration has taken full control over Erunak's mind, body, and devastating shamanic abilities.;0.6746514439582825,0.19311368465423584;65;1046;3;28322;322;0;0;-1
104;Ozumat;Tales of the monstrous kraken that terrorize Azeroth's high seas were once relegated to myth... but no longer. By some ill means, the naga have bent Ozumat-the patriarch of all kraken-to their will and unleashed him against Neptulon and his followers.;0.3253495991230011,0.19311368465423584;65;1047;4;28318;322;0;0;-1
105;Rom'ogg Bonecrusher;"One of the rare ""missing link"" ogres on Outland, Rom'ogg Bonecrusher piqued the Twilight's Hammer Cult's interest with his merciless treatment of the ogres. He now lords over the Chamber of Incineration, sating his hunger for inflicting torment on others.";0.5,0.7020958662033081;66;1040;1;2356;283;0;0;-1
106;Corla, Herald of Twilight;Formerly an accomplished Kirin Tor mage, Corla now serves the Twilight's Hammer with unwavering devotion. She blesses fellow zealots by harnessing nether dragon essences to transform these believers into menacing twilight drakonid.;0.27045947313308716,0.16317355632781982;66;1038;2;2361;284;0;0;-1
107;Karsh Steelbender;The enormous drakonid Karsh Steelbender toils in the Twilight Forge, shaping weapons of war out of rare quicksilver. Although Karsh's works are nearly unbreakable under normal circumstances, at high temperatures they become as brittle as rusted iron.;0.47005993127822876,0.6646707057952881;66;1039;3;2371;284;0;0;-1
108;Beauty;Beauty's past is a tale as old as time, a song as old as rhyme. After Beauty's mate, Beast, was slain by heroes in Blackrock Spire, the hound and its four remaining pups joined forces with the Twilight's Hammer, intent on punishing the creatures who killed its mate.;0.6646713614463806,0.8443114757537842;66;1037;4;2378;284;0;0;-1
109;Ascendant Lord Obsidius;For his unyielding devotion and penchant for cruelty, the powerful shaman Dessirik the Depraved was gifted with ascension: a dark ritual that infused him with elemental powers, transforming him into a monstrosity known as Ascendant Lord Obsidius.;0.6896215677261353,0.507485032081604;66;1036;5;2385;284;0;0;-1
110;Corborus;Deathwing enslaved the massive gyreworm Corborus and drove it to unearth the vast amounts of elementium required to forge the Dragon Aspect's new plating. With Deathwing's departure, however, Corborus has broken loose and now rampages through the Stonecore in blind fury.;0.6297410726547241,0.597305417060852;67;1056;1;2394;324;0;0;-1
111;Slabhide;With his powers as the Aspect of Earth amplified by the Old Gods, Deathwing easily swayed Deepholm's stone wyrms into serving the Twilight's Hammer. One of the most ambitious of these creatures, Slabhide hopes to earn Deathwing's favor by exterminating any intruders brazen enough to enter the Stonecore.;0.37025970220565796,0.447604775428772;67;1059;2;2401;324;0;0;-1
112;Ozruk;Ozruk has served as Stonecore's guardian since Deepholm's creation. It is unknown why Ozruk has remained in the Stonecore, but it has become apparent that the guardian now believes that anyone opposed to Deathwing is a threat to Deepholm, and should therefore be destroyed.;0.5049900412559509,0.23053884506225586;67;1058;3;2405;324;0;0;-1
113;High Priestess Azil;High Priestess Azil is one of the few who has survived communing with the Twilight's Hammer cult's eldritch masters, although little remains of her sanity. She instills terror in lesser cultists so that they will sacrifice themselves without hesitation when their masters command it.;0.5748506188392639,0.38772451877593994;67;1057;4;2411;324;0;0;-1
114;Grand Vizier Ertan;Ertan defends the Vortex Pinnacle under the command of her master, Asaad, against any ground-dwellers who dare intrude on the realm. To fulfill her duties, the elemental noble has been granted mastery over the primal forces of lightning and wind.;0.5499004125595093,0.447604775428772;68;1043;1;2419;325;0;0;-1
115;Altairus;The immense storm wyrm Altairus maintains an unyielding vigil over the hovering platforms of the Vortex Pinnacle. The very energies of the storms pulse through this being, and he is said to command the wind currents that buffet the elemental fortress.;0.5199601650238037,0.8218563795089722;68;1041;2;2425;325;0;0;-1
116;Asaad, Caliph of Zephyrs;The fearsome elemental Asaad was named guardian of the Vortex Pinnacle by Al'Akir himself. With Siamat, Lord of the South Wind, imprisoned by the Neferset tol'vir, Asaad believes he may ascend to the Conclave of Wind if he performs his duties well.;0.3003995418548584,0.38023948669433594;68;1042;3;2431;325;0;0;-1
117;General Husam;The titans themselves appointed General Husam as one of Uldum's foremost guardians. After Siamat, Lord of the South Wind, cured the Neferset tol'vir's curse of flesh, Husam helmed a rebellion that culminated in the air elemental's imprisonment.;0.3752497136592865,0.42514967918395996;69;1052;1;2437;277;0;0;-1
118;Lockmaw;Amid the Neferset's chaotic insurrection against Siamat, the pygmy Augh pilfered whatever treasures he could from the ancient tol'vir city. Among his race, Augh is respected as much for his cunning as he is for his ferocious pet crocolisk, Lockmaw.;0.674651026725769,0.7245510220527649;69;1054;2;2442;277;0;0;-1
119;High Prophet Barim;High Prophet Barim is the hallowed spiritual leader of the Neferset. Along with General Husam, he rallied his fellow Neferset against Siamat and imprisoned the air elemental. Regardless, some dark force still drives Barim and his followers to terrorize Uldum.;0.27045899629592896,0.657185971736908;69;1053;3;2455;277;0;0;-1
122;Siamat;Purging the Neferset tol'vir's curse of flesh left the fearsome elemental Siamat severely drained. It was during this moment of vulnerability that the tol'vir struck and magically imprisoned Siamat at the center of their ancient sand-swept city.;0.4151698052883148,0.552395224571228;69;1055;4;2474;277;0;0;-1
124;Temple Guardian Anhuur;In the final days of the Halls of Origination's use by titanic forces, Temple Guardian Anhuur was endowed with the willpower needed to wield the Light. Thus empowered, he was charged with judging the purity of those entering the facility.;0.5848307013511658,0.6272455453872681;70;1080;1;2489;297;0;0;-1
125;Earthrager Ptah;Outside Earthrager Ptah's tomb, the sand is littered with the bones of creatures purified by Anhuur. It is said that Ptah can bend these remains to his will and send them against beings who manage to elude the facility's first line of defense.;0.5,0.492514967918396;70;1076;2;2540;298;0;0;-1
126;Anraphet;The Anraphet maintenance unit was created to man the inner workings of the Halls of Origination. In the event that the facility is contaminated by foreign entities, Anraphet will access programs designed to annihilate the intruders by any means necessary.;0.5598804950714111,0.1407184600830078;70;1075;3;2551;297;0;0;-1
127;Isiset, Construct of Magic;Isiset serves to regulate the arcane energies contained within, and produced by, the Halls of Origination. Legend has it that this construct has become enraptured with her own arcane mastery and the perfection with which it seemingly endows her.;0.3103795647621155,0.5;70;1077;4;2555;299;0;0;-1
128;Ammunae, Construct of Life;Although designed to reduce Azeroth to its base elements, the reordering system inside the Halls of Origination also creates new life. To that end, the construct Ammunae regulates the natural energies coursing through the facility to ensure that life will exist on a reforged Azeroth.;0.4750499427318573,0.7470060586929321;70;1074;5;2565;299;0;0;-1
129;Setesh, Construct of Destruction;Given the purpose of the Halls of Origination, the titans deemed it necessary to create Setesh, a construct who holds sway over the powers of destruction. Should Setesh ever fall to corruption, the results would be disastrous.;0.639721155166626,0.492514967918396;70;1079;6;2666;299;0;0;-1
130;Rajh, Construct of Sun;Rajh oversees the energies that have both sparked life and snuffed it out in an untold number of his kin. Considered the mightiest of his fellow constructs, Rajh holds the power to unleash the fury of a thousand suns upon Azeroth.;0.4750499427318573,0.25299394130706787;70;1078;7;2926;299;0;0;-1
131;General Umbriss;As Azeroth's champions and their red dragon allies assault the gates of Grim Batol, the malefic General Umbriss leads the fortress's cultist and twilight dragonspawn defenders.;0.40518978238105774,0.6871258020401001;0;0;1;29541;293;0;0;-1
132;Forgemaster Throngus;A smith for the Twilight's Hammer cult, this massive ettin is eager to use the weapons and armor he's forged to annihilate intruders.;0.5149999856948853,0.30000001192092896;0;0;2;816;293;0;0;-1
133;Drahga Shadowburner;This Twilight's Hammer courier is on a mission from the Bastion of Twilight. Should heroes overcome his fiery minions, Drahga will reveal a portent of doom for Azeroth's defenders.;0.6946116089820862,0.19311368465423584;0;0;3;3364;293;0;0;-1
134;Erudax, the Duke of Below;Deathwing has dispatched one of his greatest lieutenants to discover the secret that several mighty red dragons have died to protect. From the cavernous realm of Deepholm, this faceless general will bring to bear the next generation of draconic power to obliterate those foolish enough to challenge him.;0.8562617897987366,0.7470060586929321;0;0;4;3374;293;0;0;-1
139;Argaloth;Unable to contain the massive pit lord Argaloth in the cells of Dalaran's mighty Violet Hold, the magi of the Kirin Tor were left with no choice but to confine the powerful demon beneath Tol Barad.;0.8043925166130066,0.6347305774688721;75;1033;1;2602;282;0;2;15
140;Occu'thar;This ravenous demon broke free of its cage and gained access to the western wing of the prison, devouring all of the inmates held there. Occu'thar's gluttony resulted in a body too bloated to escape its environs, effectively turning the prison wing into its new holding cell.;0.15568892657756805,0.631777286529541;75;1250;2;2605;282;0;2;15
154;The Conclave of Wind;"With Siamat, Lord of the South Wind, imprisoned by the Neferset tol'vir, Al'Akir's lieutenants are vying to fill the power vacuum that now exists in the Conclave of Wind. The remaining conclave members are Anshal, Lord of the West Wind, whose gales can heal allies or poison enemies; Rohash, Lord of the East Wind, whose tempests can grind the mightiest mountains to dust; and Nezir, Lord of the North Wind, whose frigid storms have claimed more lives than all other cardinal wind lords combined.";0.4750499427318573,0.2604789733886719;74;1035;1;3166;328;0;2;15
155;Al'Akir;Gifted with great intelligence and cunning, Al'Akir the Windlord once served as the foremost tactician in the Old Gods' horrific armies. In the wake of the Cataclysm, he has aligned with Deathwing and turned his godlike powers against many of the air elementals' ancient tol'vir nemeses.;0.4750499427318573,0.5;74;1034;2;3021;328;0;2;15
156;Halfus Wyrmbreaker;Imbued with unnatural power and stamina by Cho'gall, the ettin Halfus Wyrmbreaker captures dragons for use as fodder in the Twilight's Hammer's rituals. To this end, he has enslaved a behemoth proto-dragon to aid him in hunting down his winged prey.;0.5349302887916565,0.19311368465423584;72;1030;1;2959;294;0;2;15
157;Theralion and Valiona;Magically aged to adulthood, Valiona and Theralion were to be paragons among a new clutch of twilight dragons, leading their brood in scouring Azeroth of life. Instead, they waste their incredible powers constantly bickering and fighting each other.;0.5399203300476074,0.7844312191009521;72;1032;2;2994;294;0;2;15
158;Ascendant Council;As the most powerful Twilight's Hammer cultists to be twisted into elemental beings, the Ascendant Council members have long forgotten their existence as mere mortals. From their wicked sanctum, they oversee the selection of new ascension candidates.;0.4251498281955719,0.455089807510376;72;1028;3;3109;295;0;2;15
167;Cho'gall;Under Cho'gall's control, the orcish Twilight's Hammer clan was transformed into a murderous cult obsessed with the Old Gods and their herald, Deathwing. Extended contact with his dark master has hideously warped both Cho'gall's mind and body.;0.7345319390296936,0.7544910907745361;72;1029;4;3165;295;0;2;15
168;Sinestra;Originally Deathwing's prime consort, Sinestra created the first twilight dragons, but was later obliterated by one of her terrifying creations. Now a ravaged husk reanimated by insidious magic, Sinestra oversees the creation of new twilight clutches.;0.4900199770927429,0.3428143262863159;72;1082;5;3226;296;0;2;12
169;Omnotron Defense System;The Omnotron Defense System was once touted as the Dark Iron dwarves' greatest technological marvel. When Nefarian arrived in Blackwing Descent, he repurposed the run-down system to annihilate anyone intruding on his laboratories.;0.6546912789344788,0.57485032081604;73;1027;1;3193;285;0;2;15
170;Magmaw;Magmaw is a colossal lava worm summoned from the Firelands centuries ago by Ragnaros' Dark Iron servitors. Nefarian largely considers Magmaw a worrisome pest, but has grown fond of feeding the beast his failed experiments... and servants.;0.2754494845867157,0.57485032081604;73;1024;2;3310;285;0;2;15
171;Atramedes;Atramedes, or Experiment 25463-D, is a failed attempt to bestow enhanced senses on a black dragon whelp. The toxic salve applied to the broodling robbed him of sight, forcing him to rely on sound and smell for survival. A tragic story... if Atramedes weren't so evil.;0.4750499427318573,0.3278442621231079;73;1022;3;3072;286;0;2;15
172;Chimaeron;Terrifying. Ugly. Evil. Kill it.;0.24550940096378326,0.7020958662033081;73;1023;4;3008;286;0;2;15
173;Maloriak;The human Malory was a bright young alchemist until he was kidnapped by Nefarian and fused with the corpse of a dragonspawn. The result-Maloriak-is a bumbling minion who possesses only a dull glimmer of his former intelligence.;0.7145717740058899,0.7020958662033081;73;1025;5;2929;286;0;2;15
174;Nefarian's End;Deathwing's son, Nefarian, gained infamy for his horrifying efforts to create chromatic dragons from the essences of Azeroth's various dragonflights. After his death in Blackwing Lair, he was reanimated and charged by Deathwing to continue his insidious endeavors.;0.48003995418548584,0.7020958662033081;73;1026;6;3276;286;0;2;15
175;High Priest Venoxis;Originally sent to kill Hakkar, Venoxis became enslaved to the murderous entity before falling to Azeroth's heroes. Through the efforts of the Soulflayer's agents, Venoxis has been ripped from the spirit world and ordered to defend Zul'Gurub with his venomous serpentine minions.;0.5099800825119019,0.53742516040802;76;1178;1;2787;337;0;0;-1
176;Bloodlord Mandokir;The infamous Bloodlord Mandokir died a torturous death before Bloodscalp trolls desecrated his body years ago. Word has now spread that Mandokir walks the jungles of Stranglethorn yet again, using the corpse of the mighty Bloodscalp chieftain Gan'zulah as a host for his malevolent spirit.;0.6047908663749695,0.7994012832641602;76;1179;2;2610;337;0;0;-1
177;Cache of Madness - Gri'lek;"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.";0.5998010039329529,0.4625749886035919;76;788;3;2504;337;0;0;-1
178;Cache of Madness - Hazza'rah;"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.";0.6366999745368958,0.4625749886035919;76;788;4;3508;337;0;0;-1
179;Cache of Madness - Renataki;"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.";0.5998010039329529,0.5149700045585632;76;788;5;2501;337;0;0;-1
180;Cache of Madness - Wushoolay;"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.";0.6019049882888794,0.41471099853515625;76;788;6;2498;337;0;0;-1
181;High Priestess Kilnara;When High Priestess Arlokk was killed, the panther loa Bethekk chose her sister, Kilnara, as her new mortal champion. Supporting the recent pact between the Gurubashi and Zandalar tribes, Kilnara has unleashed her savage panther minions on the region's unsuspecting denizens.;0.48003995418548584,0.20059871673583984;76;1180;7;2692;337;0;0;-1
184;Zanzil;Exiled from the Skullsplitter tribe for turning his fellow trolls into mindless slaves, Zanzil was recently offered a place among the Gurubashi by Jin'do the Godbreaker in exchange for bolstering Zul'Gurub's forces. It is well-known that his toxic elixirs can even rouse the dead from their graves.;0.3173384368419647,0.24550890922546387;76;1181;8;2508;337;0;0;-1
185;Jin'do the Godbreaker;After his defeat in Zul'Gurub, Jin'do's spirit was tormented by his failure to serve Hakkar's wishes. Jin'do recently found a way back into the world and enslaved the Soulflayer. Bristling with the dread god's terrible powers, Jin'do plans to restore the Gurubashi empire to its former glory.;0.4850299656391144,0.39520955085754395;76;1182;9;2899;337;0;0;-1
186;Akil'zon;As a former shaman of the Amani tribe, Akil'zon had a preternatural ability when working with the element of air. This talent caught the eye of Hex Lord Malacrass and made finding a host for the trolls' eagle god an easy task.;0.35528966784477234,0.23053884506225586;77;1189;1;2521;333;0;0;-1
187;Nalorakk;Hex Lord Malacrass considered Nalorakk-renowned for both his fearsome rage and savage strength on the battlefield-the ideal vessel for the bear god's essence.;0.40518978238105774,0.7739928960800171;77;1190;2;2867;333;0;0;-1
188;Jan'alai;Dragonhawks are deft predators that rend their foes with razor-sharp talons. This mindset and method of attack were also favored by one of the Amani tribe's highly skilled rogues, Jan'alai.;0.5548904538154602,0.7095808982849121;77;1191;3;2621;333;0;0;-1
189;Halazzi;The lynxes of Azeroth are vicious hunters that shred their prey with fang and claw. Hex Lord Malacrass mused that it was only right to seal the essence of the lynx god within one of the tribe's greatest hunters.;0.5848307013511658,0.23802387714385986;77;1192;4;2804;333;0;0;-1
190;Hex Lord Malacrass;Rumored to be the most feared witch doctor of the Amani tribe in decades, Hex Lord Malacrass has done the unthinkable and sealed the essence of several mighty troll animal gods in their strongest champions... keeping the darkest one for himself.;0.7145717740058899,0.529940128326416;77;1193;5;2706;333;0;0;-1
191;Daakara;To fill the power vacuum left from the death of their old warlord, Zul'jin, the remaining trolls of the Amani tribe chose their favored champion, Daakara the Invincible, to reclaim their lost glory.;0.9041933417320251,0.529940128326416;77;1194;6;2875;333;0;0;-1
192;Beth'tilac;Matriarch of the Cinderweb Brood, Beth'tilac and her merciless offspring sate their appetites by sucking the magma and fire from the corpses of elementals. To provide her broodlings with added sustenance, Beth'tilac has woven a network of incendiary webs throughout her lair to trap unsuspecting prey.;0.21057921648025513,0.3278442621231079;78;1197;1;20826;367;0;0;-1
193;Lord Rhyolith;Rhyolith is one of the most ancient elementals in existence, born from the primordial fires that forged Azeroth itself. He is responsible for the creation of new elementals in the Firelands and still possesses a searing hatred of the titans for what he considers monumental arrogance in relocating him.;0.6536932587623596,0.7500001192092896;78;1204;2;20812;367;0;0;-1
194;Alysrazor;When Ragnaros's forces surged into Mount Hyjal, the green dragon Alysra betrayed her allies and helped liberate the traitorous archdruid Fandral Staghelm. As a reward, she was purified with fire and reborn as a fearsome fire hawk.;0.6437137126922607,0.3802395462989807;78;1206;3;20817;367;0;0;-1
195;Shannox;The flamewakers are among the most feared elemental guardians in the Firelands.  Shannox is no exception.  Serving as the chief hunter and kennel master of Ragnaros's hell hounds, Shannox patrols the elemental realm with his two most ferocious beasts: Riplimb and Rageface.;0.493013471364975,0.44311341643333435;78;1205;4;20808;367;0;0;-1
196;Baleroc, the Gatekeeper;Baleroc earned a reputation as a merciless combatant during the elemental wars of ancient Azeroth. Now that he is confined to the Firelands, Baleroc's sanity has dwindled. Few elementals dare disturb him, fearful that they will become victim to his battle lust.;0.4950096011161804,0.30988049507141113;78;1200;5;20822;367;0;0;-1
197;Majordomo Staghelm;The loss of his son, Valstann, in the War of the Shifting Sands utterly shattered Fandral Staghelm's spirit. Now empowered by Ragnaros as the new Majordomo of the Firelands (replacing the deceased Majordomo Executus) and the leader of the treacherous Druids of the Flame, Fandral seeks to bring ruin to Azeroth rather than live in a world without his beloved child.;0.5099800825119019,0.7245509624481201;78;1185;6;20830;369;0;0;-1
198;Ragnaros;Ragnaros, lord of the Firelands, embodies the fury and destruction of the primordial infernos that forged Azeroth itself. Promised the chance to set Azeroth aflame without interference from Neptulon and Therazane, Ragnaros seeks to appease the Old Gods by incinerating the World Tree of Nordrassil.;0.507502019405365,0.15383000671863556;78;1203;7;20834;369;0;0;-1
283;Echo of Tyrande;Once the leader of the night elves and High Priestess of Elune, this time-twisted fragment of Tyrande Whisperwind now wanders the wastes of the desolate future of Azeroth. Enveloped in a perpetual midnight, she has all but lost sight of the comforting light of Elune.;0.5155140161514282,0.43377500772476196;184;1884;4;3667;405;0;0;-1
285;Echo of Jaina;The tormented fragment of Jaina Proudmoore has been split and infused within the shattered pieces of her staff. To restore balance to the timeways, this echo must be defeated. However, the devastating magical power possessed by the once-proud ruler of Theramore is hardly lost to her time-havocked spectre. In this future Azeroth, she is only divided, and waiting...;0.49538901448249817,0.66081702709198;184;1883;2;3641;402;0;0;-1
289;Murozond;Now living outside of time, Murozond was once the great Dragon Aspect Nozdormu the Timeless One. After the titans showed him his own death, the tormented Nozdormu was tricked by the Old Gods into trying to subvert his mortality. As a result, Nozdormu shattered the timeways and created the Infinite Dragonflight... jeopardizing the very future of Azeroth.;0.484811007976532,0.3230130076408386;184;1271;5;3675;406;0;0;-1
290;Peroth'arn;"Like many of his fellow Highborne, Peroth'arn swore allegiance to the corrupted Xavius in exchange for gifts of demonic power.

As a master of fiendish magic and recipient of the satyr curse, Peroth'arn stands outside Azshara's palace in defense of the Burning Legion, ready to destroy those hoping to disrupt the entrance of the Dark Titan, Sargeras, into Azeroth.";0.23748500645160675,0.48257699608802795;185;1272;1;4164;398;0;0;-1
291;Queen Azshara;The songs of Queen Azshara's beauty, majesty, and power are too numerous to count, but it was her vanity that drove the Highborne to summon the Burning Legion. She now watches her most trusted magi empower the portal where Sargeras will be brought into Azeroth, content to let multitudes of her servants die in advance of the Dark Titan's arrival.;0.46338900923728943,0.3696250021457672;185;1273;2;3968;398;0;0;-1
292;Mannoroth and Varo'then;Varo'then, head of Queen Azshara's personal guard, and Mannoroth, the pit lord whose blood will corrupt the entire orc race, stand as the last line of defense against those hoping to bar Sargeras's entry into Azeroth. Though both Tyrande and Illidan have fought bravely thus far, the fate of Azeroth will be decided at the Well of Eternity's very brink.;0.8730279803276062,0.48257699608802795;185;1274;3;3684;398;0;0;-1
311;Morchok;The most powerful elemental still under Deathwing's sway, Morchok-once a passive guardian-is now convinced that his only respite will come with Azeroth's demise. Morchok rages against the foundation of Wyrmrest Temple, Azeroth's last beacon of hope in the Hour of Twilight.;0.5039960145950317,0.6925240159034729;187;1292;1;3879;409;0;0;-1
317;Hagara the Stormbinder;Hagara, one of the first students of arcane magic under the Forsaken, showed surprising potential for one who had started learning so late in life. But in her undisciplined attempts to bind elementals into servitude, she was ensnared and twisted by the Windlord, Al'Akir. Now fiercely loyal to the Twilight's Hammer, Hagara binds others for her elemental masters to torment.;0.527504026889801,0.520451009273529;187;1296;4;3912;412;0;0;-1
318;Spine of Deathwing;When Deathwing first channeled the Dragon Soul's power against the other flights, the massive energies that were unleashed threatened to break apart his very body.  Rather than forgo this weapon, he had adamantium plates fused to his scales to hold his body together. Later reinforced with elementium, these plates are now his weakness--the sole vulnerability to Deathwing's lethal presence.;0.3321169912815094,0.8525869846343994;187;1291;7;4050;414;0;0;-1
322;Arcurion;Horde and Alliance assaults against the Twilight's Hammer have slaughtered many of the cult's fearsome elemental ascendants. One exception is Arcurion, a formidable ice ascendant tasked to slay Thrall and retrieve the Dragon Soul. Should this twisted elemental being succeed, nothing will be able to stop Deathwing from ushering in the Hour of Twilight.;0.5673760175704956,0.2771790027618408;186;1337;1;3942;399;0;0;-1
323;Echo of Sylvanas;Spawned from shattered timeways and cloistered within the Ruby Dragonshrine, a maddened fragment of the Forsaken's leader, Sylvanas Windrunner, waits restlessly. Having lost everything and unable to find peace, this tormented echo aches for a chance to unleash her dark fury at anything still living within these barren, time-twisted wastes.;0.5590969920158386,0.3920679986476898;184;1882;3;3955;403;0;0;-1
324;Warlord Zon'ozz;Countless ages ago, Warlord Zon'ozz and his soldiers waged endless war against the forces of C'Thun and Yogg-Saron. Millennia have passed, but the warlord still serves the chaotic might of the Old God N'Zoth. Deathwing has now unleashed this legendary faceless one to crush the defenders of Wyrmrest Temple.;0.5096380114555359,0.5303249955177307;187;1294;2;3970;410;0;0;-1
325;Yor'sahj the Unsleeping;Since the fall of the Bastion of Twilight, Yor'sahj the Unsleeping has eagerly assisted Deathwing, providing the Destroyer with the means to release more faceless ones from their prisons deep beneath the earth. Their numbers are endless and their power is beyond reckoning, and Yor'sahj intends to reap a grim reward for his faithful service.;0.46826499700546265,0.4992949962615967;187;1295;3;3974;411;0;0;-1
331;Ultraxion;More an abomination of dark energy than a dragon, Ultraxion has spent his short life absorbing the essence of captured nether dragons. Ultraxion is the only twilight dragon Deathwing has praised, and his arrogance is overshadowed only by the crackling energies surging through his twisted form. Loyal to his master, Ultraxion swears to bring about the fall of Wyrmrest Temple.;0.5003290176391602,0.45809000730514526;187;1297;5;4247;409;0;0;-1
332;Warmaster Blackhorn;Though once vast in number, only a few dozen twilight dragons now remain. Astride these hardened survivors are the last vestiges of the Twilight's Hammer's army: the elite drake riders of Deathwing's personal escort. Led by the insidious Warmaster Blackhorn, they move with unholy purpose, driven to protect their dark master.;0.48152101039886475,0.17177100479602814;187;1298;6;4027;413;0;0;-1
333;Madness of Deathwing;A warped mass of molten hatred and unfathomable power, this formless, mindless horror cannot be stopped. Whatever was left of Neltharion the Earth-Warder is long gone, his mind and soul corrupted and devoured by his Old God masters. All this monstrous being desires is destruction, annihilation, and the end of all things.;0.47870200872421265,0.5384849905967712;187;1299;8;4040;415;0;0;-1
