ID;Position;MapID;AreaTableID;Faction;JournalInstanceID
88;-1181.97998046875,2861.949951171875,85.25810241699219;1;607;-1;232
89;-1484.0699462890625,2617.570068359375,75.71440124511719;1;405;-1;232
90;-1381.9599609375,2918.72998046875,73.20390319824219;1;607;-1;232
91;-4664.60009765625,-2536.929931640625,82.66790008544922;1;5092;-1;233
92;-4455.10986328125,-1655.010009765625,85;1;4709;-1;234
93;3392.4599609375,-3389.199951171875,143.072998046875;0;2279;-1;236
94;-10292.2998046875,-3990.02001953125,-68;0;74;-1;237
95;-8761.849609375,848.5570068359375,87.8051986694336;0;8411;-1;238
96;-6055.5,-2955,220;0;923;-1;239
97;-753.5960083007812,-2212.780029296875,21.540300369262695;1;17;-1;240
98;-6790.8798828125,-2891.949951171875,8.88638973236084;1;978;-1;241
99;1282.050048828125,-2548.72998046875,85.39939880371094;0;2298;-1;246
100;-3361.550048828125,5236.8701171875,-101.0479965209961;530;3688;-1;247
101;-365.6109924316406,3087.6201171875,-14.559399604797363;530;3545;-1;248
102;12878.7998046875,-7348.740234375,65.53099822998047;530;4095;-1;249
103;-3068.1298828125,4942.7998046875,-101.0479965209961;530;3956;-1;250
104;-8326.26953125,-4047.43994140625,-207.52200317382812;1;440;-1;251
105;-3362.35009765625,4650.31005859375,-101.0479965209961;530;3688;-1;252
106;-3656.050048828125,4943.10986328125,-101.0479965209961;530;3688;-1;253
107;3314.780029296875,1325.9200439453125,507.3479919433594;530;3842;-1;254
108;-8777.3896484375,-4156.919921875,-190;1;981;-1;255
109;-307.2510070800781,3170.510009765625,28.914400100708008;530;3955;-1;256
110;3418.919921875,1479.010009765625,184.0590057373047;530;3842;-1;257
111;2861.3701171875,1545.3900146484375,252.1580047607422;530;3842;-1;258
112;-310.21099853515625,3091.590087890625,-4.152629852294922;530;3545;-1;259
113;745.8389892578125,7015.27001953125,-72.11849975585938;530;3653;-1;260
114;818.4869995117188,6951.2998046875,-80.57039642333984;530;3653;-1;261
115;782.8790283203125,6741.93994140625,-72.54060363769531;530;3521;-1;262
116;3639.39990234375,2027.199951171875,6.5;571;65;-1;271
117;3668.2900390625,2174.6298828125,36.23429870605469;571;65;-1;272
118;4775.31982421875,-2017.1600341796875,235;571;4309;-1;273
119;6976.5400390625,-4396.330078125,457.5;571;4375;-1;274
120;9188.8203125,-1390.010009765625,1144;571;4548;-1;275
121;5627.41015625,1957.3199462890625,819;571;4522;-1;276
122;8922.0302734375,-963.4340209960938,1052;571;4547;-1;277
123;5584.10986328125,2003.1600341796875,807.2000122070312;571;4522;-1;278
124;-8758.7802734375,-4469.580078125,-194;1;440;-1;279
125;5678.56005859375,1995.280029296875,808;571;4522;-1;280
126;3902.7900390625,6985.68994140625,75;571;4120;-1;281
127;3869.840087890625,6984.16015625,112.5;571;4120;-1;282
128;5675.43017578125,480.91900634765625,659.1939697265625;571;4553;-1;283
129;8562.599609375,791.7849731445312,562.8989868164062;571;4658;-1;284
130;1257.1099853515625,-4854.47998046875,41.24800109863281;571;495;-1;285
131;1226.22998046875,-4861.7001953125,223.22300720214844;571;495;-1;286
132;-720.0034790039062,1261.498291015625,136.64634704589844;870;6001;-1;302
133;699.6805419921875,2080.37841796875,374.6978759765625;870;6306;-1;303
134;2864.820068359375,-823.4199829101562,160.33200073242188;0;160;-1;311
135;3646,2545.89990234375,777.0150146484375;870;6173;-1;312
136;957.3489990234375,-2475.7099609375,188;870;5974;-1;313
137;2924.3798828125,-798.4290161132812,161.61099243164062;0;161;-1;316
138;3977.240478515625,1115.736083984375,497.1361389160156;870;5841;-1;317
139;959.9583129882812,-49.5,513.735595703125;870;6372;-1;320
140;1401.84033203125,426.84375,479.0543518066406;870;6143;-1;321
141;959.9583129882812,-49.5,513.735595703125;870;6372;-1;322
142;165.23611450195312,4068.059814453125,256.2027893066406;870;6435;-1;330
143;7264.408203125,5014.869140625,76.17105865478516;1064;6507;-1;362
144;1244.84033203125,598.9166870117188,325.86029052734375;870;6143;-1;369
145;7270.00244140625,4470.322265625,125.8331527709961;1116;6968;-1;385
146;8112.21630859375,847.9183959960938,34.34571075439453;1116;6892;-1;457
147;114.03646087646484,2196.286376953125,177.16574096679688;1116;6722;-1;476
148;17.203125,2519.6494140625,109.22791290283203;1116;6722;-1;476
149;3471.4140625,7447.89599609375,31.81673812866211;1116;7367;-1;477
150;7890.16748046875,569.2257080078125,126.06169891357422;1116;6901;-1;536
151;752.6128540039062,138.5260467529297,7.531060218811035;1116;6872;-1;537
152;1499.27783203125,3049.604248046875,110.85906982421875;1116;6662;-1;547
153;7080.89697265625,187.4895782470703,144.9608612060547;1116;7320;-1;556
154;3471.4140625,7447.89599609375,31.81673812866211;1116;7367;-1;557
155;8850.5751953125,1338.076416015625,98.2637710571289;1116;7411;-1;558
156;-7474.984375,-1322.09375,302.93621826171875;0;254;-1;559
157;-7512.16015625,-1034.780029296875,177.20799255371094;0;254;-1;741
159;-8424.9404296875,1508.6500244140625,32.014198303222656;1;5695;-1;743
160;-8230.400390625,2005.3299560546875,129.86300659179688;1;5695;-1;744
161;-11101.900390625,-1998.1199951171875,49.3306999206543;0;2562;-1;745
162;3556.7900390625,5083.41015625,1.4424799680709839;530;3522;-1;746
163;-309.6780090332031,3079.1201171875,-116.57099914550781;530;3545;-1;747
164;843.885009765625,6865.240234375,-66.98979949951172;530;3521;-1;748
165;3087.179931640625,1364.530029296875,184.0709991455078;530;3842;-1;749
166;-8158.89990234375,-4155.64990234375,-160;1;440;-1;750
167;-3671.9599609375,318.53399658203125,31.619400024414062;530;3756;-1;751
168;12551,-6775.14990234375,15.053099632263184;530;4094;-1;752
169;5494.8798828125,2839.81005859375,420.8110046386719;571;4575;-1;753
170;3681.2900390625,-1280.18994140625,248.46600341796875;571;4188;-1;754
171;3442.6298828125,260.95098876953125,-100;571;4254;-1;755
172;3870.2900390625,6984.2001953125,153.8470001220703;571;4120;-1;756
173;8515.2099609375,744.4130249023438,562.906005859375;571;4658;-1;757
174;5772.10986328125,2063.27001953125,647.0640258789062;571;4522;-1;758
175;9364.3603515625,-1113.43994140625,1320;571;4445;-1;759
176;-4768.60986328125,-3752.110107421875,53.43170166015625;1;511;-1;760
177;3608.18994140625,186.1699981689453,-100;571;4254;-1;761
179;-4478.2900390625,4245.3134765625,6.597900390625;2444;13837;-1;1196
180;-545.3176879882812,2212.382080078125,430.02130126953125;2444;13645;-1;1198
181;2350.5087890625,2627.798583984375,244.04164123535156;2444;13644;-1;1199
182;452.859375,-4287.767578125,1580.9671630859375;2444;13647;-1;1200
183;1353.7916259765625,-2781.515625,731.539306640625;2444;13647;-1;1201
184;1364.5660400390625,-160.1354217529297,115.10043334960938;2444;13644;-1;1202
185;-5650.2275390625,1273.4947509765625,810.103515625;2444;13646;-1;1203
186;129.22743225097656,-2865.442626953125,1227.0003662109375;2444;13647;-1;1204
187;-1512.779541015625,-3086.510498046875,1238.9659423828125;2444;13647;-1;1209
189;1845.4288330078125,2548.6103515625,-79.50672912597656;2454;14022;-1;1208
191;-6063.392578125,-3157.154541015625,280.9771728515625;0;3;-1;1197
195;-2177.90625,-931.4375,-1348.8780517578125;2601;14753;-1;1271
196;1445.295166015625,-162.2465362548828,-46.08894729614258;2601;14838;-1;1270
197;2647.640625,-4896.25341796875,100.88966369628906;2552;14717;-1;1272
198;-5905.96337890625,4861.5615234375,4790.73681640625;2222;13672;-1;1194
199;3440.27001953125,-2730.267333984375,336.60205078125;2601;14795;-1;1269
200;-2599.11279296875,-517.7117919921875,-1135.1812744140625;2601;14752;-1;1273
201;-152.6527862548828,8854.314453125,41.32691192626953;2548;14529;-1;1207
202;-1631.967041015625,-751.9426879882812,-1335.800048828125;2601;14753;-1;1274
203;-3827.484375,-1557.2413330078125,127.7953872680664;2374;13536;-1;1195
204;2800.927001953125,-3656.725830078125,368.94158935546875;2601;14795;-1;1210
205;2799.991455078125,-2186.75341796875,266.8365783691406;2552;14771;-1;1268
206;-3759.68994140625,934.9290161132812,161.02499389648438;1;3217;-1;1276
207;-3822.6298828125,1249.9200439453125,160.27000427246094;1;3217;-1;1276
208;3392.4599609375,-3389.199951171875,143.072998046875;0;2279;-1;1292
209;-3519.949951171875,1089.9300537109375,161.06500244140625;1;3217;-1;1277
210;-3519.949951171875,1089.9300537109375,161.06500244140625;1;3217;-1;1276
211;-3822.6298828125,1249.9200439453125,160.27000427246094;1;3217;-1;1277
212;-3759.68994140625,934.9290161132812,161.02499389648438;1;3217;-1;1277
213;1935.0086669921875,-2683.28466796875,358.8725891113281;2601;14795;-1;1298
214;7.925347328186035,552.4305419921875,5.938181400299072;2706;15347;-1;1296
