ID;Map;JournalEncounterID;MapDisplayConditionID;Flags;UiMapID
1667;0.27045947313308716,0.6571856737136841;119;0;1;277
1668;0.5199601650238037,0.8218563795089722;115;0;1;325
1669;0.15568892657756805,0.631777286529541;140;0;1;282
1670;0.6746514439582825,0.19311368465423584;103;0;1;322
1671;0.24550940096378326,0.7020958662033081;172;0;1;286
1672;0.5548904538154602,0.7095808982849121;188;0;1;333
1673;0.5848307013511658,0.23802387714385986;189;0;1;333
1674;0.5848307013511658,0.6272455453872681;124;0;1;297
1675;0.4950096011161804,0.30988049507141113;196;0;1;367
1676;0.3752497136592865,0.42514967918395996;117;0;1;277
1677;0.6946116089820862,0.19311368465423584;133;0;1;293
1678;0.5019960403442383,0.8682636022567749;90;54460;1;291
1679;0.5396170020103455,0.4856559932231903;592;0;1;154
1680;0.465846985578537,0.6557369828224182;593;0;1;154
1681;0.18715900182724,0.5061460137367249;833;0;1;129
1682;0.5149999856948853,0.30000001192092896;132;0;1;293
1683;0.493013471364975,0.44311341643333435;195;0;1;367
1684;0.6047908663749695,0.455089807510376;93;54460;1;292
1685;0.6846315264701843,0.3353292942047119;100;0;1;315
1686;0.4750499427318573,0.2604789733886719;154;0;1;328
1687;0.6147540211677551,0.774590015411377;599;0;1;139
1688;0.5590969920158386,0.3920679986476898;323;0;1;403
1689;0.50273197889328,0.8627049922943115;605;0;1;140
1690;0.507502019405365,0.15383000671863556;198;0;1;369
1691;0.5499004125595093,0.447604775428772;114;0;1;325
1692;0.5049900412559509,0.21556878089904785;101;0;1;323
1693;0.8456289768218994,0.7602459788322449;606;0;1;140
1694;0.6047908663749695,0.38772451877593994;92;54460;1;292
1695;0.4344260096549988,0.6270490288734436;602;0;1;185
1696;0.5425900220870972,0.5923190116882324;866;0;1;558
1697;0.2934510111808777,0.6691290140151978;867;0;1;558
1698;0.7720339894294739,0.2968980073928833;868;0;1;559
1699;0.4943380057811737,0.7134420275688171;869;0;1;567
1700;0.5278189778327942,0.29246699810028076;870;0;1;564
1701;0.4251498281955719,0.455089807510376;158;0;1;295
1702;0.6536932587623596,0.7500001192092896;193;0;1;367
1703;0.6896215677261353,0.507485032081604;109;0;1;284
1704;0.5598804950714111,0.1407184600830078;126;0;1;297
1705;0.6646713614463806,0.8443114757537842;108;0;1;284
1706;0.27045947313308716,0.16317355632781982;106;0;1;284
1707;0.5748506188392639,0.38772451877593994;113;0;1;324
1708;0.8562617897987366,0.7470060586929321;134;0;1;293
1709;0.4750499427318573,0.25299394130706787;130;0;1;299
1710;0.5003290176391602,0.45809000730514526;331;0;1;409
1711;0.6746514439582825,0.7245509624481201;118;0;1;277
1712;0.28043949604034424,0.597305417060852;98;0;1;310
1713;0.5998008251190186,0.514970064163208;179;0;1;337
1714;0.5449103713035583,0.53742516040802;99;0;1;313
1715;0.4790419936180115,0.179640993475914;339;0;1;282
1716;0.3415299952030182,0.8196719884872437;574;0;1;263
1717;0.7595630288124084,0.43647500872612;575;0;1;263
1718;0.6939889788627625,0.899590015411377;576;0;1;262
1719;0.7868850231170654,0.28893500566482544;577;0;1;262
1720;0.5039960145950317,0.6925240159034729;311;0;1;409
1721;0.5,0.7020958662033081;105;0;1;283
1722;0.19945399463176727,0.7868850231170654;550;0;1;270
1723;0.4972679913043976,0.13729499280452728;607;0;1;140
1724;0.6803280115127563,0.5532780289649963;608;0;1;184
1725;0.48003995418548584,0.7020958662033081;174;0;1;286
1726;0.49120399355888367,0.27198898792266846;675;0;1;438
1727;0.26116400957107544,0.7510150074958801;664;0;1;429
1728;0.16666699945926666,0.5676230192184448;475;0;1;279
1729;0.2663930058479309,0.5717210173606873;414;0;1;235
1730;0.47814199328422546,0.2028689980506897;564;0;1;268
1731;0.39754098653793335,0.5573769807815552;532;0;1;348
1732;0.2677600085735321,0.7049180269241333;545;0;1;260
1733;0.6584699749946594,0.25819700956344604;613;0;1;131
1734;0.7173770070075989,0.25231900811195374;821;0;1;510
1735;0.4265579879283905,0.5760729908943176;824;0;1;512
1736;0.31599798798561096,0.8207929730415344;825;0;1;510
1737;0.7168490290641785,0.6448289752006531;725;0;1;376
1738;0.3934420049190521,0.48975399136543274;594;0;1;154
1739;0.5764539837837219,0.2192150056362152;727;0;1;457
1740;0.17614300549030304,0.45179200172424316;1372;0;1;662
1741;0.6967210173606873,0.27049198746681213;580;0;1;132
1742;0.18715900182724,0.5061460137367249;617;0;1;129
1743;0.5628420114517212,0.7274590134620667;620;0;1;129
1744;0.49180299043655396,0.7622950077056885;622;0;1;143
1745;0.20703700184822083,0.5115020275115967;726;0;1;473
1746;0.10519099980592728,0.27458998560905457;603;0;1;185
1747;0.6657649874687195,0.3288230001926422;741;0;1;475
1748;0.4822399914264679,0.725409984588623;582;0;1;132
1749;0.16666699945926666,0.3442620038986206;424;0;1;280
1750;0.484811007976532,0.3230130076408386;289;0;1;406
1751;0.7240430116653442,0.38114801049232483;640;0;1;135
1752;0.6065580248832703,0.6885250210762024;642;0;1;137
1753;0.5531420111656189,0.4627879858016968;692;0;1;457
1754;0.4357919991016388,0.3729510009288788;597;0;1;138
1755;0.6548089981079102,0.22727200388908386;889;0;1;573
1756;0.7349730134010315,0.20399999618530273;450;0;1;317
1757;0.44262298941612244,0.17622999846935272;486;0;1;219
1758;0.3829500079154968,0.4566980004310608;669;0;1;441
1759;0.4451960027217865,0.1928279995918274;672;0;1;429
1760;0.6188229918479919,0.44774800539016724;654;0;1;432
1761;0.5669400095939636,0.28893399238586426;405;0;1;240
1762;0.4258959889411926,0.2929520010948181;685;0;1;443
1763;0.5806009769439697,0.4057379961013794;571;0;1;265
1764;0.24726800620555878,0.45696699619293213;579;0;1;262
1765;0.6202179789543152,0.2213120013475418;619;0;1;129
1766;0.5122950077056885,0.5286880135536194;636;0;1;171
1767;0.4508199989795685,0.5512290000915527;632;0;1;168
1768;0.25136598944664,0.7049180269241333;595;0;1;154
1769;0.27595600485801697,0.6229509711265564;626;0;1;168
1770;0.652878999710083,0.6041439771652222;659;0;1;476
1771;0.527504026889801,0.520451009273529;317;0;1;412
1772;0.6884210109710693,0.8193889856338501;677;0;1;473
1773;0.3428960144519806,0.36885300278663635;562;0;1;266
1774;0.508197009563446,0.31967198848724365;540;0;1;274
1775;0.5136610269546509,0.3155739903450012;563;0;1;267
1776;0.6092889904975891,0.7418040037155151;535;0;1;272
1777;0.465846985578537,0.27049198746681213;596;0;1;154
1778;0.7212449908256531,0.47496700286865234;686;0;1;443
1779;0.7175520062446594,0.6761429905891418;1432;0;1;665
1780;0.24495700001716614,0.569163978099823;1467;0;1;710
1781;0.5634009838104248,0.3508650064468384;1479;0;1;713
1782;0.6586329936981201,0.37499499320983887;1519;0;1;232
1783;0.6943389773368835,0.23679299652576447;1520;0;1;232
1784;0.41530099511146545,0.5348359942436218;644;0;1;137
1785;0.4412569999694824,0.2663939893245697;610;0;1;184
1786;0.46338900923728943,0.3696250021457672;291;0;1;398
1787;0.44790300726890564,0.7591339945793152;690;0;1;454
1788;0.41530001163482666,0.24180300533771515;578;0;1;262
1789;0.5560110211372375,0.4036880135536194;628;0;1;168
1790;0.47677600383758545,0.13319699466228485;591;0;1;161
1791;0.6498450040817261,0.6915280222892761;673;0;1;443
1792;0.27595600485801697,0.39958998560905457;618;0;1;129
1793;0.5669400095939636,0.592212975025177;611;0;1;131
1794;0.38524600863456726,0.3606559932231903;477;0;1;279
1795;0.3671970069408417,0.530951976776123;340;0;1;404
1796;0.4087800085544586,0.5740739703178406;696;0;1;213
1797;0.6654279828071594,0.16783200204372406;713;0;1;475
1798;0.2968460023403168,0.14656800031661987;728;0;1;246
1799;0.6120219826698303,0.8627049922943115;590;0;1;160
1800;0.28961798548698425,0.6270490288734436;638;0;1;133
1801;0.40163901448249817,0.6045079827308655;604;0;1;140
1802;0.1898909956216812,0.5225409865379333;600;0;1;139
1803;0.3195419907569885,0.3036929965019226;416;0;1;235
1804;0.47382399439811707,0.5137540102005005;341;0;1;400
1805;0.33606600761413574,0.5368850231170654;406;0;1;236
1806;0.46311500668525696,0.6803269982337952;523;0;1;257
1807;0.3265030086040497,0.27663901448249817;543;0;1;259
1808;0.3633880019187927,0.782787024974823;549;0;1;270
1809;0.3907099962234497,0.2049179971218109;528;0;1;347
1810;0.4877049922943115,0.6803280115127563;541;0;1;258
1811;0.2363390028476715,0.5040979981422424;584;0;1;132
1812;0.24316899478435516,0.45901599526405334;457;0;1;220
1813;0.587431013584137,0.6209009885787964;639;0;1;134
1814;0.7841529846191406,0.4528689980506897;465;0;1;225
1815;0.5096380114555359,0.5303249955177307;324;0;1;410
1816;0.5491799712181091,0.618852972984314;553;0;1;273
1817;0.4808740019798279,0.7459020018577576;554;0;1;273
1818;0.3866119980812073,0.41803300380706787;555;0;1;261
1819;0.5833330154418945,0.41188499331474304;557;0;1;261
1820;0.44262298941612244,0.2336069941520691;558;0;1;266
1821;0.24180300533771515,0.22745899856090546;559;0;1;266
1822;0.07377039641141891,0.4815570116043091;560;0;1;266
1823;0.3401640057563782,0.8627060055732727;561;0;1;266
1824;0.33333298563957214,0.6209020018577576;566;0;1;246
1825;0.5440859794616699,0.6320499777793884;691;0;1;379
1826;0.49043700098991394,0.27049198746681213;570;0;1;265
1827;0.35245901346206665,0.75;601;0;1;185
1828;0.27185800671577454,0.6106560230255127;565;0;1;268
1829;0.5423499941825867,0.13729499280452728;573;0;1;263
1830;0.4614349901676178,0.8788909912109375;655;0;1;437
1831;0.3251360058784485,0.45901599526405334;614;0;1;131
1832;0.3633880019187927,0.7069669961929321;641;0;1;136
1833;0.4977850019931793,0.645796000957489;372;0;1;242
1834;0.5915300250053406,0.401638001203537;612;0;1;131
1835;0.5136610269546509,0.5266389846801758;637;0;1;171
1836;0.5423499941825867,0.3422130048274994;568;0;1;246
1837;0.4077039957046509,0.5093560218811035;342;0;1;399
1838;0.6734970211982727,0.5450819730758667;569;0;1;246
1839;0.5013660192489624,0.4508199989795685;585;0;1;159
1840;0.6008120179176331,0.1968879997730255;744;0;1;474
1841;0.46174898743629456,0.19262300431728363;623;0;1;144
1842;0.3770489990711212,0.20901699364185333;598;0;1;139
1843;0.538565993309021,0.4932340085506439;729;0;1;456
1844;0.26204800605773926,0.4563249945640564;688;0;1;435
1845;0.46826499700546265,0.4992949962615967;325;0;1;411
1846;0.5155140161514282,0.43377500772476196;283;0;1;405
1847;0.2185789942741394,0.39549198746681213;544;0;1;260
1848;0.4508199989795685,0.6209009885787964;552;0;1;273
1849;0.821038007736206,0.7684419751167297;572;0;1;265
1850;0.4357930123806,0.49590200185775757;615;0;1;183
1851;0.3620220124721527,0.6741799712181091;621;0;1;129
1852;0.362758994102478,0.761788010597229;738;0;1;457
1853;0.5382509827613831,0.24795100092887878;385;0;1;243
1854;0.8730279803276062,0.48257699608802795;292;0;1;398
1855;0.6215850114822388,0.4877049922943115;587;0;1;157
1856;0.4330599904060364,0.2192620038986206;556;0;1;261
1857;0.7390710115432739,0.5081959962844849;524;0;1;257
1858;0.7295079827308655,0.31352499127388;527;0;1;347
1859;0.678961992263794,0.5286880135536194;627;0;1;168
1860;0.3306010067462921,0.4528689980506897;629;0;1;168
1861;0.27185800671577454,0.33606600761413574;631;0;1;168
1862;0.5122950077056885,0.5266389846801758;634;0;1;171
1863;0.6844260096549988,0.3627049922943115;643;0;1;137
1864;0.2580009996891022,0.1875929981470108;849;0;1;556
1865;0.4018949866294861,0.7043300271034241;708;0;1;453
1866;0.5655739903450012,0.18237699568271637;588;0;1;160
1867;0.4344260096549988,0.12090200185775757;616;0;1;183
1868;0.2993200123310089,0.40799999237060547;749;0;1;317
1869;0.3551909923553467,0.8278689980506897;529;0;1;347
1870;0.4248639941215515,0.22336100041866302;530;0;1;349
1871;0.23748500645160675,0.48257699608802795;290;0;1;398
1872;0.8346999883651733,0.2643440067768097;531;0;1;349
1873;0.3694550096988678,0.4790869951248169;1704;0;1;781
1874;0.3167630136013031,0.2485630065202713;1718;0;1;761
1875;0.5772389769554138,0.5751850008964539;1719;0;1;761
1876;0.6454399824142456,0.766228973865509;1720;0;1;763
1877;0.5238280296325684,0.4741150140762329;1725;0;1;764
1878;0.4885930120944977,0.48479101061820984;1726;0;1;788
1879;0.08606559783220291,0.5020490288734436;533;0;1;348
1880;0.47950801253318787,0.2971310019493103;534;0;1;272
1881;0.3565570116043091,0.6086069941520691;536;0;1;272
1882;0.3237699866294861,0.49180299043655396;537;0;1;272
1883;0.7540979981422424,0.6618850231170654;538;0;1;274
1884;0.48037898540496826,0.5317999720573425;658;0;1;429
1885;0.4699450135231018,0.20901599526405334;625;0;1;146
1886;0.6188520193099976,0.75;630;0;1;168
1887;0.49397599697113037,0.5240960121154785;671;0;1;436
1888;0.4913550019264221,0.3479999899864197;887;0;1;573
1889;0.5902500152587891,0.5968379974365234;888;0;1;573
1890;0.3456279933452606,0.13729499280452728;481;0;1;279
1891;0.7021859884262085,0.47950801253318787;589;0;1;160
1892;0.6912569999694824,0.6967210173606873;539;0;1;274
1893;0.3265030086040497,0.5450819730758667;542;0;1;259
1894;0.5314210057258606,0.5409830212593079;546;0;1;260
1895;0.8087430000305176,0.3913930058479309;547;0;1;260
1896;0.5928959846496582,0.24385300278663635;548;0;1;269
1897;0.48152101039886475,0.17177100479602814;332;0;1;413
1898;0.7659000158309937,0.4891749918460846;683;0;1;456
1899;0.3085249960422516,0.4932340085506439;709;0;1;456
1900;0.6089299917221069,0.5906630158424377;335;0;1;429
1901;0.4411369860172272,0.6069009900093079;649;0;1;437
1902;0.7609289884567261,0.45901599526405334;458;0;1;220
1903;0.47870200872421265,0.5384849905967712;333;0;1;415
1904;0.49453601241111755,0.7807379961013794;413;0;1;235
1905;0.3193509876728058,0.3288230001926422;689;0;1;471
1906;0.5136610269546509,0.524590015411377;635;0;1;171
1907;0.5546450018882751,0.4651640057563782;480;0;1;279
1908;0.24590200185775757,0.1434430032968521;428;0;1;281
1909;0.5846989750862122,0.9200819730758667;468;0;1;230
1910;0.6161199808120728,0.5389350056648254;479;0;1;279
1911;0.5532789826393127,0.5040979981422424;473;0;1;231
1912;0.43169400095939636,0.883197009563446;418;0;1;228
1913;0.3620220124721527,0.09836070239543915;423;0;1;280
1914;0.5368850231170654,0.7151640057563782;403;0;1;240
1915;0.44879499077796936,0.48644599318504333;2011;0;1;928
1917;0.7786880135536194,0.6700819730758667;419;0;1;226
1918;0.6120219826698303,0.6926230192184448;412;0;1;235
1919;0.6927300095558167,0.6502060294151306;694;0;1;213
1920;0.5350019931793213,0.5734660029411316;371;0;1;242
1921;0.3633880019187927,0.8237699866294861;378;0;1;243
1922;0.8552240133285522,0.8641790151596069;444;0;1;222
1923;0.47404399514198303,0.9221310019493103;369;0;1;242
1924;0.6901209950447083,0.4932340085506439;742;0;1;456
1925;0.41393399238586426,0.8176230192184448;430;0;1;281
1926;0.3729510009288788,0.7397540211677551;469;0;1;230
1927;0.2035519927740097,0.776639997959137;407;0;1;236
1928;0.4844380021095276,0.26183998584747314;665;0;1;477
1929;0.5669400095939636,0.16188499331474304;454;0;1;318
1930;0.2677600085735321,0.3278689980506897;471;0;1;230
1931;0.4028320014476776,0.8610039949417114;698;0;1;455
1932;0.5751370191574097,0.600409984588623;396;0;1;255
1933;0.5840539932250977,0.5333750247955322;1438;0;1;670
1934;0.6207360029220581,0.7414150238037109;391;0;1;251
1935;0.7595630288124084,0.4651640057563782;420;0;1;227
1936;0.3866119980812073,0.20081999897956848;456;0;1;318
1937;0.5865669846534729,0.30895501375198364;447;0;1;223
1938;0.4789150059223175,0.34186801314353943;1235;0;1;595
1939;0.8022390007972717,0.7530120015144348;1236;0;1;595
1940;0.8042169809341431,0.17496900260448456;1237;0;1;595
1941;0.6846960186958313,0.4366759955883026;1238;0;1;595
1942;0.25136598944664,0.5348359942436218;377;0;1;242
1943;0.7786620259284973,0.34485599398612976;682;0;1;472
1944;0.6748639941215515,0.22745899856090546;453;0;1;318
1945;0.31830599904060364,0.5061479806900024;415;0;1;235
1946;0.6953549981117249,0.7602459788322449;411;0;1;235
1947;0.3429360091686249,0.8168720006942749;697;0;1;213
1948;0.4562839865684509,0.19877099990844727;455;0;1;318
1949;0.4411369860172272,0.7368059754371643;737;0;1;475
1950;0.47541001439094543,0.4405739903450012;470;0;1;230
1951;0.5382509827613831,0.4856559932231903;384;0;1;243
1952;0.543283998966217,0.564179003238678;426;0;1;221
1953;0.3053889870643616,0.2679640054702759;1226;0;1;617
1954;0.2723329961299896,0.75;448;0;1;317
1955;0.2199449986219406,0.25614801049232483;472;0;1;230
1956;0.5238800048828125,0.8082090020179749;437;0;1;222
1957;0.49915099143981934,0.8703089952468872;459;0;1;220
1958;0.7459020018577576,0.4692620038986206;451;0;1;318
1959;0.28942498564720154,0.5974029898643494;748;0;1;230
1960;0.3866119980812073,0.5901640057563782;388;0;1;252
1961;0.5095630288124084,0.5307379961013794;425;0;1;280
1962;0.6024590134620667,0.6598359942436218;375;0;1;243
1963;0.5480380058288574,0.28822699189186096;660;0;1;431
1964;0.4884980022907257,0.5175920128822327;670;0;1;442
1965;0.7964479923248291,0.11885199695825577;386;0;1;243
1966;0.24316899478435516,0.6844260096549988;421;0;1;227
1967;0.11193999648094177,0.3895519971847534;436;0;1;221
1968;0.46974098682403564,0.7917870283126831;1468;0;1;711
1969;0.6887620091438293,0.48270899057388306;1469;0;1;711
1970;0.5,0.7723339796066284;1470;0;1;712
1971;0.4789159893989563,0.39586499333381653;1485;0;1;704
1972;0.6295179724693298,0.8478919863700867;1486;0;1;704
1973;0.28313198685646057,0.7620480060577393;1487;0;1;703
1974;0.5150600075721741,0.8253009915351868;1488;0;1;705
1975;0.5150610208511353,0.9457380175590515;1489;0;1;705
1976;0.16858799755573273,0.7528820037841797;1497;0;1;749
1977;0.3933719992637634,0.776656985282898;1498;0;1;749
1978;0.7521610260009766,0.5021610260009766;1499;0;1;749
1979;0.619596004486084,0.7485589981079102;1500;0;1;749
1980;0.4841490089893341,0.3854469954967499;1501;0;1;749
1981;0.533719003200531,0.2629059851169586;1502;0;1;706
1982;0.36935099959373474,0.20665599405765533;1732;0;1;769
1983;0.45973700284957886,0.4568609893321991;1743;0;1;770
1984;0.2952750027179718,0.7300710082054138;657;0;1;443
1985;0.5751370191574097,0.7438520193099976;402;0;1;240
1986;0.5491799712181091,0.9487699866294861;373;0;1;243
1987;0.5726320147514343,0.782899022102356;820;0;1;512
1988;0.9098359942436218,0.11885199695825577;387;0;1;243
1989;0.2964479923248291,0.17418000102043152;487;0;1;219
1990;0.25819700956344604,0.7889339923858643;431;0;1;281
1991;0.49957001209259033,0.5405669808387756;826;0;1;507
1992;0.5949289798736572,0.25602999329566956;827;0;1;508
1993;0.4935060143470764,0.415583997964859;828;0;1;511
1994;0.7792209982872009,0.382189005613327;829;0;1;513
1995;0.5122950077056885,0.5266389846801758;834;0;1;171
1996;0.5229250192642212,0.8104079961776733;831;0;1;515
1997;0.45931100845336914,0.6412019729614258;679;0;1;471
1998;0.6901220083236694,0.7449259757995605;745;0;1;474
1999;0.2049179971218109,0.8180000185966492;449;0;1;317
2000;0.507502019405365,0.5100460052490234;832;0;1;514
2001;0.33333298563957214,0.6068699955940247;368;0;1;221
2002;0.43852499127388,0.4815570116043091;404;0;1;239
2003;0.2185789942741394,0.2622950077056885;464;0;1;225
2004;0.04282420128583908,0.5099999904632568;446;0;1;317
2005;0.6461750268936157,0.27663901448249817;484;0;1;219
2006;0.6229509711265564,0.743852972984314;478;0;1;279
2007;0.6229509711265564,0.2315569967031479;410;0;1;238
2008;0.4221310019493103,0.3299179971218109;489;0;1;219
2009;0.5724040269851685,0.46106499433517456;452;0;1;318
2010;0.5421689748764038,0.3373500108718872;2013;0;1;932
2011;0.623494029045105,0.4231930077075958;2014;0;1;931
2012;0.501075029373169,0.5306450128555298;2031;0;1;918
2013;0.47721999883651733,0.657122015953064;383;0;1;243
2014;0.6352459788322449,0.21106599271297455;376;0;1;242
2015;0.28094199299812317,0.3827829957008362;483;0;1;219
2016;0.4704909920692444,0.5210279822349548;693;0;1;458
2017;0.6707649827003479,0.8770490288734436;463;0;1;220
2018;0.6051909923553467,0.3269999921321869;443;0;1;317
2019;0.39377498626708984,0.15629200637340546;656;0;1;432
2020;0.5010910034179688,0.3261690139770508;684;0;1;479
2021;0.5575100183486938,0.49120399355888367;668;0;1;440
2022;0.4972679913043976,0.2213120013475418;466;0;1;225
2023;0.30601099133491516,0.43032801151275635;474;0;1;279
2024;0.39480799436569214,0.7930319905281067;395;0;1;254
2025;0.4549179971218109,0.5573769807815552;392;0;1;253
2026;0.37978100776672363,0.8401640057563782;394;0;1;254
2027;0.8606560230255127,0.4672130048274994;433;0;1;300
2028;0.33879798650741577,0.4508199989795685;408;0;1;237
2029;0.5314210057258606,0.2622950077056885;485;0;1;219
2030;0.5056679844856262,0.7047780156135559;380;0;1;243
2031;0.5997430086135864,0.18310000002384186;663;0;1;477
2032;0.5404670238494873,0.30041199922561646;695;0;1;213
2033;0.7076500058174133,0.27458998560905457;624;0;1;145
2034;0.3195439875125885,0.2294819951057434;417;0;1;235
2035;0.4084700047969818,0.4877049922943115;429;0;1;281
2036;0.5182679891586304,0.4709070026874542;666;0;1;477
2037;0.524590015411377,0.5450819730758667;390;0;1;250
2038;0.5642079710960388,0.31147500872612;374;0;1;242
2039;0.4582059979438782,0.5647450089454651;381;0;1;243
2040;0.31147500872612,0.30327901244163513;422;0;1;229
2041;0.462787002325058,0.23748299479484558;676;0;1;437
2042;0.37841498851776123,0.7049180269241333;427;0;1;280
2043;0.5341529846191406,0.725409984588623;467;0;1;230
2044;0.49096399545669556,0.8042169809341431;674;0;1;436
2045;0.34972700476646423,0.5758200287818909;409;0;1;238
2046;0.49500900506973267,0.18000000715255737;445;0;1;317
2047;0.5560110211372375,0.6700819730758667;370;0;1;242
2048;0.5532789826393127,0.6926230192184448;389;0;1;251
2049;0.4996899962425232,0.19109399616718292;816;0;1;509
2050;0.18944500386714935,0.5155619978904724;687;0;1;472
2051;0.2679300010204315,0.7368069887161255;743;0;1;475
2052;0.36475399136543274,0.6516389846801758;379;0;1;243
2053;0.6059579849243164,0.37334999442100525;814;0;1;504
2054;0.3463200032711029,0.5899810194969177;817;0;1;513
2055;0.7111930251121521,0.3395169973373413;818;0;1;512
2056;0.2683970034122467,0.7874979972839355;819;0;1;509
2057;0.19125699996948242,0.39549198746681213;476;0;1;279
2058;0.5396170020103455,0.8442630171775818;393;0;1;254
2059;0.6525710225105286,0.7354660034179688;850;0;1;562
2060;0.2195969969034195,0.3116689920425415;901;0;1;301
2061;0.3554680049419403,0.48235300183296204;857;119609;1;554
2062;0.42543599009513855,0.6220970153808594;858;119609;1;554
2063;0.4195699989795685,0.4525989890098572;852;0;1;557
2064;0.42486101388931274,0.4842120110988617;859;119609;1;554
2065;0.3579460084438324,0.6273339986801147;860;119609;1;554
2066;0.47516700625419617,0.6094570159912109;856;0;1;560
2067;0.5501580238342285,0.18126100301742554;861;119609;1;554
2068;0.7720339894294739,0.2968980073928833;881;0;1;559
2069;0.26482200622558594,0.5592889785766602;893;0;1;573
2070;0.41654300689697266,0.42392900586128235;846;0;1;563
2071;0.6834070086479187,0.35302799940109253;853;0;1;566
2072;0.872327983379364,0.41082900762557983;895;0;1;301
2073;0.8073359727859497,0.5171800255775452;896;0;1;301
2074;0.5749390125274658,0.3059549927711487;899;0;1;301
2075;0.08939670026302338,0.5483989715576172;900;0;1;301
2076;0.6334400177001953,0.38585200905799866;965;0;1;601
2077;0.5241159796714783,0.6125410199165344;966;0;1;601
2078;0.4276530146598816,0.8199359774589539;967;0;1;601
2079;0.5112540125846863,0.2749199867248535;968;0;1;602
2080;0.4550899863243103,0.5823349952697754;1141;0;1;300
2081;0.5898200273513794,0.34281501173973083;1142;0;1;300
2082;0.3453100025653839,0.664671003818512;1143;0;1;300
2083;0,0;1144;0;1;319
2084;0,0;1145;0;1;319
2085;0.4301399886608124,0.6272460222244263;1146;0;1;300
2086;0.4613969922065735,0.22035199403762817;1147;0;1;599
2087;0.551048994064331,0.3637700080871582;1148;0;1;613
2088;0.3782449960708618,0.6545119881629944;1153;0;1;613
2089;0.48491400480270386,0.3454880118370056;959;0;1;600
2090;0.5784919857978821,0.5506799817085266;971;0;1;610
2091;0.6630820035934448,0.7217739820480347;1122;0;1;599
2092;0.19533999264240265,0.7688170075416565;1123;0;1;596
2093;0.5475890040397644,0.5766379833221436;1128;0;1;612
2094;0.08649589866399765,0.5105419754981995;1133;0;1;609
2095;0.7138550281524658,0.5783129930496216;1138;0;1;606
2096;0.5224270224571228,0.5105540156364441;1139;0;1;574
